source_class,file,record_index,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,1,small_area_45_80,,,,,,,3.0,69.0,12.0,4.0,,,,,,,,,"{""unit_number"": ""17"", ""floor"": ""4"", ""rooms"": ""3"", ""internal_area"": ""69"", ""balcony_area"": ""12"", ""orientation"": ""מזרח"", ""unit_type"": ""standard_apartment""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,8,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1680000.0,21000.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11356430310"", ""price"": ""1680000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""9"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2026-07-21"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""5.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,10,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1750000.0,21875.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11349838890"", ""price"": ""1750000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""9"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2026-05-06"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""5.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,12,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,7.0,,standard_apartment,,1720000.0,21500.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11267742330"", ""price"": ""1720000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""7"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-06-08"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""3.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,14,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,12.0,,standard_apartment,,1826000.0,22825.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11263118670"", ""price"": ""1826000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""12"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-04-24"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""8.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,15,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,4.0,,standard_apartment,,1755000.0,21937.5,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11260093590"", ""price"": ""1755000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""4"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-03-25"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""0.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,17,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,2.0,,standard_apartment,,1700000.0,21250.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11252756430"", ""price"": ""1700000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""2"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-01-09"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""2.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,18,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,7.0,,standard_apartment,,1760000.0,22000.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11252073240"", ""price"": ""1760000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""7"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2024-12-19"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""3.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,19,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,4.0,,standard_apartment,,1745000.0,21812.5,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11186402940"", ""price"": ""1745000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""4"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2024-11-24"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""0.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,20,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,8.0,,standard_apartment,,1740000.0,21750.0,,,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11189999610"", ""price"": ""1740000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""8"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2024-11-16"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""4.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
